Index,Model,BLEU_Score,ROUGE-L_Score,METEOR_Score
CPP_4,Gemma,0.2573,0.4731,0.5743
CPP_4,GPT4,0.5606,0.8608,0.8638
CPP_4,GPT35,0.3982,0.7123,0.7423
CPP_4,MetaLlama,0.5204,0.7848,0.806
CPP_118,GPT4,0.3708,0.5556,0.5607
CPP_118,GPT35,0.1719,0.396,0.4697
CPP_130,GPT4,0.3706,0.507,0.5474
CPP_130,GPT35,0.178,0.4,0.4948
CPP_124,GPT4,0.4097,0.6329,0.7626
CPP_124,GPT35,0.2513,0.4944,0.6269
CPP_143,GPT4,0.349,0.5542,0.6509
CPP_143,GPT35,0.169,0.4045,0.5542
CPP_157,Gemma,0.7584,0.8889,0.9396
CPP_157,GPT4,0.7188,0.8889,0.921
CPP_157,GPT35,0.3504,0.5806,0.6874
CPP_157,MetaLlama,0.4216,0.6957,0.7207
CPP_87,GPT4,0.2324,0.4466,0.4667
CPP_87,GPT35,0.2793,0.4082,0.483
CPP_93,GPT4,0.2825,0.4667,0.4721
CPP_93,GPT35,0.1751,0.3673,0.4689
CPP_44,GPT4,0.188,0.4505,0.6333
CPP_44,GPT35,0.22,0.4222,0.5848
CPP_50,GPT4,0.2399,0.4933,0.4957
CPP_50,GPT35,0.1085,0.2742,0.2681
CPP_78,Gemma,0.1652,0.3736,0.5127
CPP_78,GPT4,0.3707,0.6154,0.67
CPP_78,GPT35,0.1463,0.382,0.5158
CPP_78,MetaLlama,0.3271,0.6118,0.7175
CPP_79,GPT4,0.1536,0.4091,0.5352
CPP_79,GPT35,0.169,0.3913,0.4715
CPP_51,GPT4,0.3784,0.6562,0.6835
CPP_51,GPT35,0.1642,0.4,0.579
CPP_45,Gemma,0.5565,0.7273,0.7343
CPP_45,GPT4,0.5558,0.7692,0.8351
CPP_45,GPT35,0.2309,0.4835,0.5809
CPP_45,MetaLlama,0.4332,0.7429,0.6764
CPP_92,Gemma,0.3641,0.5263,0.6678
CPP_92,GPT4,0.4251,0.6239,0.692
CPP_92,GPT35,0.3163,0.5773,0.6109
CPP_92,MetaLlama,0.3645,0.6167,0.7025
CPP_86,GPT4,0.3438,0.4938,0.5449
CPP_156,GPT4,0.306,0.6087,0.6516
CPP_142,Gemma,0.2956,0.404,0.4629
CPP_142,GPT4,0.2343,0.4536,0.501
CPP_142,GPT35,0.1591,0.4,0.4874
CPP_142,MetaLlama,0.2393,0.4694,0.5412
CPP_154,GPT4,0.4401,0.6383,0.6655
CPP_154,GPT35,0.3546,0.5253,0.6427
CPP_140,GPT4,0.2923,0.4348,0.5513
CPP_90,GPT4,0.1713,0.4063,0.5812
CPP_84,GPT4,0.1689,0.3689,0.4268
CPP_84,GPT35,0.1704,0.3778,0.5196
CPP_53,Gemma,0.425,0.5397,0.6109
CPP_53,GPT4,0.4795,0.6567,0.7105
CPP_53,GPT35,0.2014,0.381,0.5744
CPP_53,MetaLlama,0.4324,0.5882,0.6845
CPP_47,GPT4,0.1812,0.4242,0.6284
CPP_46,Gemma,0.2111,0.3696,0.5591
CPP_46,GPT4,0.5648,0.7105,0.7776
CPP_46,GPT35,0.1432,0.3778,0.5211
CPP_46,MetaLlama,0.3855,0.6286,0.6659
CPP_52,Gemma,0.4956,0.6737,0.7705
