file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_85.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_139.dot,7,11,0,0,4,8,7,11,0,0,5,10,Overall Completed
CPP_57.dot,43,42,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_59.dot,9,12,0,0,4,8,5,8,3,5,4,8,Wrong
CPP_132.dot,10,12,2,2,3,6,6,8,2,2,3,6,Wrong
CPP_27.dot,0,0,0,0,0,0,31,44,0,0,14,29,Wrong
CPP_91.dot,10,9,0,0,0,0,11,16,0,0,6,12,Loop Completed
CPP_73.dot,5,6,0,0,2,4,3,4,0,0,2,4,Wrong
CPP_152.dot,0,0,0,0,0,0,21,28,0,0,10,20,Wrong
CPP_142.dot,14,13,0,0,0,0,8,11,5,7,4,8,Wrong
CPP_49.dot,9,13,0,0,5,10,7,11,0,0,5,10,Wrong
CPP_130.dot,38,46,0,0,8,18,41,56,22,30,19,38,Wrong
CPP_122.dot,9,11,0,0,3,6,11,17,0,0,7,14,Wrong
CPP_5.dot,0,0,0,0,0,0,36,50,0,0,18,36,Wrong
CPP_13.dot,4,4,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_53.dot,4,3,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_126.dot,32,34,0,0,3,6,7,11,0,0,5,10,Wrong
CPP_127.dot,0,0,0,0,0,0,8,11,0,0,4,8,Wrong
