file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_76.dot,11,14,0,0,3,7,3,4,0,0,2,4,Wrong
CPP_83.dot,0,0,0,0,0,0,13,22,0,0,10,20,Wrong
CPP_46.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_20.dot,0,0,0,0,0,0,36,53,18,25,19,38,Wrong
CPP_108.dot,0,0,0,0,0,0,8,12,5,8,5,10,Wrong
CPP_41.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_146.dot,0,0,0,0,0,0,9,13,3,3,5,10,Wrong
CPP_42.dot,12,13,2,2,1,2,11,17,0,0,7,14,Wrong
CPP_92.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_18.dot,0,0,0,0,0,0,16,23,0,0,8,17,Wrong
CPP_63.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_115.dot,0,0,0,0,0,0,16,26,13,22,11,22,Wrong
CPP_69.dot,270,269,0,0,0,0,29,44,6,8,17,34,Wrong
CPP_66.dot,0,0,0,0,0,0,11,17,0,0,7,14,Wrong
CPP_96.dot,28,27,0,0,0,0,28,40,18,26,15,30,Wrong
CPP_99.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_45.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_124.dot,0,0,0,0,0,0,30,49,0,0,21,43,Wrong
CPP_121.dot,0,0,0,0,0,0,8,12,0,0,5,10,Wrong
CPP_50.dot,0,0,0,0,0,0,29,41,0,0,13,27,Wrong
CPP_160.dot,0,0,0,0,0,0,55,87,29,47,35,70,Wrong
CPP_0.dot,37,40,0,0,4,8,8,12,5,7,5,10,Wrong
CPP_60.dot,0,0,0,0,0,0,0,0,0,0,0,0,Overall Completed
CPP_44.dot,28,35,0,0,9,18,28,39,0,0,13,26,Loop Completed
CPP_51.dot,0,0,0,0,0,0,54,81,0,0,26,55,Wrong
CPP_8.dot,12,16,8,11,5,10,11,17,0,0,7,14,Overall Completed
CPP_68.dot,26,34,0,0,9,19,21,31,3,3,12,24,Wrong
CPP_75.dot,0,0,0,0,0,0,5,8,3,5,4,8,Wrong
CPP_54.dot,0,0,0,0,0,0,67,118,0,0,45,97,Wrong
CPP_52.dot,0,0,0,0,0,0,6,9,0,0,4,8,Wrong
CPP_35.dot,0,0,0,0,0,0,7,11,0,0,5,10,Wrong
CPP_100.dot,0,0,0,0,0,0,17,22,0,0,8,16,Wrong
CPP_77.dot,0,0,0,0,0,0,3,3,0,0,1,2,Wrong
CPP_161.dot,0,0,0,0,0,0,61,93,0,0,33,67,Wrong
CPP_14.dot,0,0,0,0,0,0,43,62,0,0,19,40,Wrong
CPP_94.dot,0,0,0,0,0,0,36,54,5,8,20,40,Wrong
CPP_106.dot,0,0,0,0,0,0,35,49,0,0,18,36,Wrong
CPP_40.dot,0,0,0,0,0,0,10,16,7,11,7,14,Wrong
