file_name,overall_nodes_rate,overall_edges_rate,loop_nodes_rate,loop_edges_rate,branch_nodes_rate,branch_edges_rate,overall_nodes_golden
CPP_150.dot,1.3333333333333333,1.5,NA,NA,1.0,1.0,3
CPP_9.dot,1.0952380952380953,1.0357142857142858,NA,NA,0.7,0.8,21
CPP_25.dot,0.8648648648648649,0.6666666666666666,NA,NA,0.6111111111111112,0.6111111111111112,37
CPP_76.dot,1.3333333333333333,1.5,NA,NA,1.0,1.0,3
CPP_137.dot,0.0,0.0,0.0,0.0,0.0,0.0,261
CPP_101.dot,0.5294117647058824,0.36,0.0,0.0,0.1875,0.19696969696969696,68
CPP_83.dot,1.0769230769230769,1.0909090909090908,NA,NA,1.1,1.15,13
CPP_46.dot,1.25,1.0,NA,NA,0.6,0.6,8
CPP_47.dot,1.2,1.1666666666666667,NA,NA,0.5,0.75,5
CPP_81.dot,0.10919540229885058,0.07539682539682539,NA,NA,0.025,0.025,174
CPP_20.dot,0.6388888888888888,0.49056603773584906,0.0,0.0,0.3157894736842105,0.34210526315789475,36
CPP_108.dot,1.25,1.0833333333333333,0.0,0.0,0.8,0.8,8
CPP_41.dot,NA,NA,NA,NA,NA,NA,0
CPP_146.dot,6.222222222222222,4.461538461538462,0.0,0.0,0.6,0.6,9
CPP_42.dot,1.0909090909090908,1.0,NA,NA,0.7142857142857143,0.7142857142857143,11
CPP_92.dot,1.3333333333333333,1.3333333333333333,NA,NA,1.0,1.0,3
CPP_123.dot,1.5769230769230769,1.0810810810810811,0.0,0.0,0.2857142857142857,0.2857142857142857,26
CPP_18.dot,1.0,0.9565217391304348,NA,NA,0.625,0.6470588235294118,16
CPP_63.dot,1.125,1.0,NA,NA,0.8,0.8,8
CPP_115.dot,1.0,0.7307692307692307,0.0,0.0,0.18181818181818182,0.22727272727272727,16
CPP_69.dot,0.0,0.0,0.0,0.0,0.0,0.0,29
CPP_66.dot,4.7272727272727275,3.411764705882353,NA,NA,1.0,1.0,11
CPP_96.dot,1.1428571428571428,0.85,0.0,0.0,0.3333333333333333,0.36666666666666664,28
CPP_99.dot,NA,NA,NA,NA,NA,NA,0
CPP_45.dot,NA,NA,NA,NA,NA,NA,0
CPP_124.dot,0.8333333333333334,0.673469387755102,NA,NA,0.38095238095238093,0.37209302325581395,30
CPP_121.dot,1.125,1.0833333333333333,NA,NA,0.8,0.9,8
CPP_50.dot,1.0,0.9024390243902439,NA,NA,0.8461538461538461,0.8518518518518519,29
CPP_160.dot,0.9636363636363636,0.5057471264367817,0.0,0.0,0.11428571428571428,0.11428571428571428,55
CPP_38.dot,0.38461538461538464,0.3225806451612903,NA,NA,0.27586206896551724,0.31666666666666665,65
CPP_0.dot,1.125,0.9166666666666666,0.0,0.0,0.4,0.4,8
CPP_105.dot,0.42696629213483145,0.2426470588235294,0.0,0.0,0.02040816326530612,0.020202020202020204,89
