nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
8,4,0.14285714285714285,0.0,0.14285714285714282,4,CPP_150.dot
52,41,0.03092006033182504,0.0,0.030920060331825004,11,CPP_28.dot
56,44,0.02857142857142857,0.0,0.02857142857142853,12,CPP_27.dot
33,22,0.041666666666666664,0.0,0.041666666666666664,11,CPP_74.dot
12,8,0.12121212121212122,0.0,0.12121212121212117,4,CPP_61.dot
11,7,0.12727272727272726,0.0,0.12727272727272732,4,CPP_31.dot
54,38,0.026554856743535988,0.0,0.026554856743535988,16,CPP_110.dot
33,22,0.041666666666666664,0.0,0.041666666666666664,11,CPP_83.dot
