nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
10,6,0.13333333333333333,0.0,0.13333333333333336,4,CPP_24.dot
6,4,0.26666666666666666,0.0,0.26666666666666666,2,CPP_159.dot
22,15,0.06493506493506493,0.0,0.06493506493506496,7,CPP_109.dot
18,12,0.0784313725490196,0.0,0.0784313725490196,6,CPP_43.dot
29,22,0.054187192118226604,0.0,0.05418719211822663,7,CPP_100.dot
17,11,0.08088235294117647,0.0,0.08088235294117647,6,CPP_136.dot
19,12,0.07017543859649122,0.0,0.07017543859649124,7,CPP_108.dot
