file_name,overall_nodes_test,overall_edges_test,loop_nodes_test,loop_edges_test,branch_nodes_test,branch_edges_test,overall_nodes_golden,overall_edges_golden,loop_nodes_golden,loop_edges_golden,branch_nodes_golden,branch_edges_golden,category
CPP_111.dot,52,51,0,0,0,0,39,64,12,17,28,56,Wrong
CPP_23.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_134.dot,9,14,0,0,5,10,8,13,0,0,6,12,Overall Completed
CPP_128.dot,9,11,0,0,3,6,8,11,0,0,4,8,Overall Completed
CPP_61.dot,7,10,2,2,3,6,6,8,2,2,3,6,Loop Completed
CPP_95.dot,20,25,0,0,5,11,18,31,0,0,13,27,Wrong
CPP_34.dot,38,37,0,0,4,11,45,68,0,0,24,50,Wrong
CPP_162.dot,42,48,22,25,10,20,57,81,0,0,24,50,Wrong
CPP_1.dot,25,26,0,0,4,8,28,44,3,3,16,34,Wrong
CPP_149.dot,74,73,0,0,0,0,43,68,11,14,26,53,Wrong
CPP_150.dot,4,6,0,0,2,4,3,4,0,0,2,4,Loop Completed
CPP_9.dot,23,29,12,16,7,16,21,28,0,0,10,20,Wrong
CPP_25.dot,32,34,5,6,11,22,37,51,0,0,18,36,Wrong
CPP_76.dot,4,6,2,3,2,4,3,4,0,0,2,4,Branch Completed
CPP_137.dot,0,0,0,0,0,0,261,399,90,128,138,284,Wrong
CPP_101.dot,36,36,0,0,6,13,68,100,32,45,32,66,Wrong
CPP_83.dot,14,24,0,0,11,23,13,22,0,0,10,20,Loop Completed
CPP_46.dot,10,12,0,0,3,6,8,12,0,0,5,10,Wrong
CPP_47.dot,6,7,0,0,1,3,5,6,0,0,2,4,Overall Completed
CPP_81.dot,19,19,0,0,2,4,174,252,0,0,80,160,Wrong
CPP_20.dot,23,26,0,0,6,13,36,53,18,25,19,38,Wrong
CPP_108.dot,10,13,0,0,4,8,8,12,5,8,5,10,Wrong
CPP_41.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_146.dot,56,58,0,0,3,6,9,13,3,3,5,10,Wrong
CPP_42.dot,12,17,2,3,5,10,11,17,0,0,7,14,Overall Completed
CPP_92.dot,4,4,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_123.dot,41,40,0,0,4,8,26,37,3,3,14,28,Wrong
CPP_18.dot,16,22,0,0,5,11,16,23,0,0,8,17,Overall Completed
CPP_63.dot,9,12,0,0,4,8,8,12,0,0,5,10,Overall Completed
CPP_115.dot,16,19,0,0,2,5,16,26,13,22,11,22,Wrong
CPP_69.dot,0,0,0,0,0,0,29,44,6,8,17,34,Wrong
CPP_66.dot,52,58,13,15,7,14,11,17,0,0,7,14,Wrong
CPP_96.dot,32,34,0,0,5,11,28,40,18,26,15,30,Wrong
CPP_99.dot,3,2,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_45.dot,2,1,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_124.dot,25,33,2,2,8,16,30,49,0,0,21,43,Wrong
CPP_121.dot,9,13,2,2,4,9,8,12,0,0,5,10,Overall Completed
CPP_50.dot,29,37,20,27,11,23,29,41,0,0,13,27,Wrong
CPP_160.dot,53,44,0,0,4,8,55,87,29,47,35,70,Wrong
CPP_38.dot,25,30,2,2,8,19,65,93,0,0,29,60,Wrong
CPP_0.dot,9,11,0,0,2,4,8,12,5,7,5,10,Overall Completed
CPP_105.dot,38,33,0,0,1,2,89,136,16,25,49,99,Wrong
CPP_104.dot,26,30,2,2,7,15,29,42,0,0,16,32,Wrong
CPP_60.dot,5,4,0,0,0,0,0,0,0,0,0,0,Wrong
CPP_44.dot,31,37,0,0,7,14,28,39,0,0,13,26,Wrong
CPP_51.dot,48,60,5,6,9,23,54,81,0,0,26,55,Wrong
CPP_8.dot,12,15,2,2,3,6,11,17,0,0,7,14,Wrong
CPP_147.dot,29,27,0,0,2,4,119,180,26,34,66,132,Wrong
CPP_68.dot,22,25,0,0,4,9,21,31,3,3,12,24,Wrong
CPP_75.dot,5,8,3,5,3,6,5,8,3,5,4,8,Overall Completed
CPP_140.dot,56,59,0,0,18,43,185,272,82,118,82,173,Wrong
CPP_54.dot,61,68,7,7,14,29,67,118,0,0,45,97,Wrong
CPP_52.dot,7,9,2,2,3,6,6,9,0,0,4,8,Overall Completed
CPP_58.dot,0,0,0,0,0,0,65,101,0,0,35,74,Wrong
CPP_10.dot,0,0,0,0,0,0,24,40,0,0,17,34,Wrong
CPP_35.dot,7,9,2,2,2,4,7,11,0,0,5,10,Wrong
CPP_100.dot,19,20,9,10,4,9,17,22,0,0,8,16,Wrong
CPP_77.dot,4,4,0,0,1,2,3,3,0,0,1,2,Overall Completed
CPP_161.dot,49,51,0,0,7,14,61,93,0,0,33,67,Wrong
CPP_14.dot,33,31,0,0,1,2,43,62,0,0,19,40,Wrong
CPP_94.dot,56,40,0,0,5,11,36,54,5,8,20,40,Wrong
CPP_106.dot,37,39,0,0,7,14,35,49,0,0,18,36,Wrong
