nodes,edges,density,avg_clustering,degree_centrality,connected_components,file_name
40,30,0.038461538461538464,0.0,0.03846153846153842,10,CPP_30.dot
39,29,0.03913630229419703,0.0,0.03913630229419705,10,CPP_163.dot
18,13,0.08496732026143791,0.0,0.08496732026143791,5,CPP_12.dot
18,11,0.0718954248366013,0.0,0.07189542483660132,7,CPP_135.dot
37,28,0.042042042042042045,0.0,0.042042042042042004,9,CPP_62.dot
18,11,0.0718954248366013,0.0,0.07189542483660132,7,CPP_49.dot
17,11,0.08088235294117647,0.0,0.08088235294117647,6,CPP_126.dot
43,31,0.03433001107419712,0.0,0.03433001107419708,12,CPP_68.dot
26,17,0.052307692307692305,0.0,0.052307692307692326,9,CPP_8.dot
18,11,0.0718954248366013,0.0,0.07189542483660132,7,CPP_35.dot
34,28,0.049910873440285206,0.0,0.04991087344028518,6,CPP_64.dot
19,12,0.07017543859649122,0.0,0.07017543859649124,7,CPP_46.dot
21,14,0.06666666666666667,0.0,0.06666666666666668,7,CPP_98.dot
1,0,0.0,0.0,1.0,1,CPP_99.dot
37,28,0.042042042042042045,0.0,0.042042042042042004,9,CPP_152.dot
37,28,0.042042042042042045,0.0,0.042042042042042004,9,CPP_9.dot
